episode,ending_environment_step,episode_return,episode_length
448,92480,-85.0,86
449,92600,-113.0,114
450,92710,-115.0,116
451,92810,-92.0,93
452,93100,-290.0,291
453,93200,-107.0,108
454,93380,-175.0,176
455,93460,-79.0,80
456,93650,-184.0,185
457,93860,-212.0,213
458,94120,-257.0,258
459,94220,-107.0,108
460,94360,-138.0,139
461,94520,-153.0,154
462,94720,-199.0,200
463,95150,-428.0,429
464,95250,-107.0,108
465,95410,-152.0,153
466,95510,-98.0,99
467,95600,-89.0,90
468,95690,-92.0,93
469,95870,-183.0,184
470,96090,-215.0,216
471,96310,-221.0,222
472,96390,-80.0,81
473,96470,-77.0,78
474,96590,-114.0,115
475,96670,-82.0,83
476,96820,-155.0,156
477,96940,-112.0,113
478,97030,-92.0,93
479,97180,-149.0,150
480,97270,-93.0,94
481,97460,-183.0,184
482,97550,-90.0,91
483,97680,-134.0,135
484,97880,-190.0,191
485,97960,-86.0,87
486,98060,-92.0,93
487,98140,-88.0,89
488,98230,-82.0,83
489,98310,-80.0,81
490,98460,-150.0,151
491,98540,-82.0,83
492,98640,-100.0,101
493,98820,-178.0,179
494,98950,-127.0,128
495,99040,-91.0,92
496,99150,-104.0,105
497,99240,-90.0,91
498,99390,-153.0,154
499,99520,-126.0,127
500,99760,-235.0,236
501,99870,-117.0,118
502,99990,-112.0,113
503,100140,-150.0,151
504,100330,-196.0,197
505,100460,-127.0,128
506,100640,-177.0,178
507,100750,-109.0,110
508,100840,-91.0,92
509,101150,-307.0,308
510,101260,-110.0,111
511,101360,-100.0,101
512,101860,-500.0,500
513,102180,-318.0,319
514,102370,-187.0,188
515,102660,-289.0,290
516,102910,-245.0,246
517,103180,-270.0,271
518,103360,-181.0,182
519,103460,-104.0,105
520,103580,-115.0,116
521,103770,-188.0,189
522,104060,-291.0,292
523,104200,-142.0,143
524,104290,-81.0,82
525,104380,-98.0,99
526,104460,-75.0,76
527,104560,-102.0,103
528,104660,-93.0,94
529,104860,-202.0,203
530,104990,-127.0,128
531,105150,-156.0,157
532,105250,-103.0,104
533,105340,-86.0,87
534,105500,-164.0,165
535,105600,-94.0,95
536,105680,-87.0,88
537,105770,-81.0,82
538,105970,-203.0,204
539,106090,-118.0,119
540,106170,-83.0,84
541,106320,-146.0,147
542,106420,-98.0,99
543,106550,-125.0,126
544,106630,-84.0,85
545,106740,-107.0,108
546,106850,-109.0,110
547,106990,-136.0,137
548,107130,-145.0,146
549,107220,-87.0,88
550,107400,-175.0,176
551,107500,-100.0,101
552,107710,-215.0,216
553,107870,-159.0,160
554,108180,-308.0,309
555,108350,-166.0,167
556,108420,-75.0,76
557,108540,-115.0,116
558,108720,-183.0,184
559,108920,-192.0,193
560,109120,-206.0,207
561,109220,-93.0,94
562,109360,-144.0,145
563,109460,-99.0,100
564,109560,-100.0,101
565,109690,-121.0,122
566,109880,-192.0,193
567,109970,-87.0,88
568,110200,-228.0,229
569,110280,-85.0,86
570,110430,-146.0,147
571,110540,-107.0,108
572,110720,-179.0,180
573,110820,-102.0,103
574,110920,-95.0,96
575,111000,-85.0,86
576,111090,-85.0,86
577,111170,-76.0,77
578,111250,-86.0,87
579,111350,-100.0,101
580,111450,-99.0,100
581,111540,-81.0,82
582,111700,-162.0,163
583,111790,-91.0,92
584,111870,-74.0,75
585,112010,-147.0,148
586,112090,-74.0,75
587,112210,-118.0,119
588,112300,-95.0,96
589,112400,-92.0,93
590,112470,-77.0,78
591,112560,-87.0,88
592,112640,-76.0,77
593,112770,-132.0,133
594,112860,-91.0,92
595,112960,-94.0,95
596,113080,-120.0,121
597,113150,-73.0,74
598,113240,-86.0,87
599,113340,-98.0,99
600,113450,-110.0,111
601,113540,-91.0,92
602,113680,-132.0,133
603,113760,-79.0,80
604,113870,-111.0,112
605,113960,-92.0,93
606,114060,-93.0,94
607,114160,-101.0,102
608,114330,-169.0,170
609,114440,-113.0,114
610,114610,-167.0,168
611,114690,-79.0,80
612,114780,-90.0,91
613,114960,-175.0,176
614,115120,-166.0,167
615,115220,-97.0,98
616,115320,-93.0,94
617,115420,-106.0,107
618,115520,-101.0,102
619,115620,-96.0,97
620,115700,-79.0,80
621,115800,-99.0,100
622,115990,-183.0,184
623,116070,-80.0,81
624,116160,-90.0,91
625,116260,-97.0,98
626,116440,-179.0,180
627,116550,-113.0,114
628,116680,-126.0,127
629,116790,-112.0,113
630,116970,-175.0,176
631,117100,-133.0,134
632,117190,-85.0,86
633,117360,-176.0,177
634,117450,-89.0,90
635,117550,-92.0,93
636,117630,-81.0,82
637,117710,-85.0,86
638,117820,-104.0,105
639,117880,-62.0,63
640,117980,-97.0,98
641,118040,-62.0,63
642,118150,-105.0,106
643,118240,-86.0,87
644,118350,-112.0,113
645,118430,-85.0,86
646,118520,-80.0,81
647,118610,-90.0,91
648,118720,-108.0,109
649,118800,-87.0,88
650,118900,-91.0,92
651,118980,-83.0,84
652,119070,-85.0,86
653,119150,-83.0,84
654,119230,-81.0,82
655,119320,-86.0,87
656,119400,-84.0,85
657,119490,-86.0,87
658,119580,-91.0,92
659,119660,-81.0,82
660,119740,-76.0,77
661,119860,-114.0,115
662,119940,-82.0,83
663,120020,-82.0,83
664,120110,-89.0,90
665,120210,-98.0,99
666,120320,-111.0,112
667,120420,-95.0,96
668,120520,-95.0,96
669,120590,-75.0,76
670,120690,-96.0,97
671,120790,-103.0,104
