environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
16000,1594,-0.005276704207062721,-0.07224363088607788,0.048496659845113754,-0.005276704207062721,0.005276704207062721,0.026756369113922124,0.026756369113922124,0.14849665984511376,0.14849665984511376,0,0.26662444585180495,3368,3,306,329,40,336,36,6,57,36,55,51,28,7,12,5,20,18,6,9,28,37,7,47,11,34,43,257,40,168,201,9,19,7,7,7,9,9,130,36,9,3,7,190,8,8,56,6,47,528,40
17000,1694,-0.0005347360856831074,0.00023691635578870773,0.11516823619604111,-0.0005347360856831074,0.0005347360856831074,0.09923691635578871,0.09923691635578871,0.2151682361960411,0.2151682361960411,1,0.2534837425348374,3438,3,306,329,40,336,37,6,57,36,56,51,28,8,12,6,21,18,6,10,28,37,10,47,11,34,43,257,40,168,201,22,20,7,47,7,9,9,134,36,10,3,7,190,8,9,56,6,47,528,40
18000,1794,-0.001940193586051464,-0.0041741663590073586,0.11472991108894348,-0.001940193586051464,0.001940193586051464,0.09482583364099265,0.09482583364099265,0.2147299110889435,0.2147299110889435,0,0.27777383403137645,3913,4,306,329,40,336,37,6,58,37,56,52,32,8,13,7,138,19,6,10,29,141,44,47,11,34,44,258,41,168,203,22,21,7,234,9,11,9,134,38,11,4,7,190,11,10,56,7,47,531,40
19000,1894,-0.0037352479994297028,-0.07295554876327515,0.11759721487760544,-0.0037352479994297028,0.0037352479994297028,0.026044451236724858,0.026044451236724858,0.21759721487760544,0.21759721487760544,0,0.26338187379480016,3961,5,306,329,40,338,37,6,58,37,56,52,32,8,13,7,138,20,6,10,29,171,44,47,13,34,54,258,41,168,204,22,21,7,235,9,11,9,134,38,11,4,7,190,11,10,56,7,47,531,40
20000,1994,0.001497634220868349,0.04635009169578552,0.12884993851184845,0.001497634220868349,0.001497634220868349,0.14535009169578553,0.14535009169578553,0.22884993851184846,0.22884993851184846,1,0.26526222559625484,4193,7,306,329,41,340,37,7,58,37,56,53,32,9,14,7,138,20,8,11,32,172,69,47,13,34,235,258,42,168,205,22,21,8,236,9,11,9,134,38,12,5,8,191,11,11,56,7,47,532,40
21000,2094,0.0005226876237429678,0.07118389010429382,0.028413541615009308,0.0005226876237429678,0.0005226876237429678,0.17018389010429383,0.17018389010429383,0.1284135416150093,0.1284135416150093,1,0.2867647058823529,4680,7,308,330,41,474,40,7,59,39,58,53,32,13,17,7,140,23,11,12,32,173,72,48,13,37,522,259,43,168,205,22,21,9,238,9,12,10,134,39,12,6,8,191,15,26,56,7,49,533,40
22000,2194,0.00021913883392699063,0.020370876416563988,0.04662560299038887,0.00021913883392699063,0.00021913883392699063,0.11937087641656399,0.11937087641656399,0.14662560299038888,0.14662560299038888,1,0.30709363117870725,5169,7,310,331,42,474,136,9,77,40,60,55,33,13,18,8,140,25,11,15,34,200,269,48,15,38,522,259,44,168,205,24,22,9,239,10,12,10,135,40,13,6,9,193,16,132,57,9,51,534,41
23000,2294,0.0008848389843478799,0.03037775680422783,0.03266115114092827,0.0008848389843478799,0.0008848389843478799,0.12937775680422783,0.12937775680422783,0.13266115114092827,0.13266115114092827,1,0.32214302138422624,5604,8,311,333,43,476,249,11,326,41,60,55,36,14,20,10,143,26,11,16,35,201,294,49,16,40,524,261,44,169,206,24,24,11,240,10,13,10,135,41,16,6,9,193,16,132,58,9,52,535,42
24000,2394,-0.004120123106986284,-0.027256779372692108,0.021715473383665085,-0.004120123106986284,0.004120123106986284,0.0717432206273079,0.0717432206273079,0.12171547338366509,0.12171547338366509,0,0.3330371028660298,5996,9,311,333,44,476,249,11,629,41,60,55,38,15,21,12,144,26,11,17,35,202,303,50,16,40,524,261,46,170,207,24,25,11,290,13,14,11,136,42,18,7,9,193,16,132,58,11,52,535,43
25000,2494,0.0035346662625670433,-0.126508429646492,-0.008105248212814331,0.0035346662625670433,0.0035346662625670433,-0.027508429646492,0.027508429646492,0.09189475178718567,0.09189475178718567,0,0.3194701008075157,6053,9,311,333,45,476,249,12,629,41,60,56,38,15,21,12,144,26,11,17,35,202,303,50,16,40,524,261,46,171,207,24,25,11,341,13,14,12,136,42,19,7,9,193,16,132,58,11,52,535,43
26000,2594,-0.00015484075993299484,-0.014834683388471603,-0.02123592048883438,-0.00015484075993299484,0.00015484075993299484,0.0841653166115284,0.0841653166115284,0.07876407951116562,0.07876407951116562,0,0.30962574925703923,6147,9,312,333,45,476,249,12,630,41,60,56,38,15,105,12,144,26,11,18,35,202,303,50,16,40,527,261,46,172,207,24,25,11,342,13,14,12,136,42,19,7,9,193,16,132,58,11,53,535,44
27000,2694,-1.667160540819168e-05,-0.045215390622615814,-0.004484532400965691,-1.667160540819168e-05,1.667160540819168e-05,0.05378460937738419,0.05378460937738419,0.09551546759903431,0.09551546759903431,0,0.2983266012694749,6204,10,312,333,45,514,249,12,631,41,60,56,38,15,105,13,144,26,11,20,35,202,303,50,16,40,536,261,46,172,207,24,25,11,342,13,14,12,136,43,19,7,9,193,17,133,58,12,53,536,44
28000,2794,-0.0046611265279352665,-0.10010485351085663,0.01695188879966736,-0.0046611265279352665,0.0046611265279352665,-0.0011048535108566238,0.0011048535108566238,0.11695188879966736,0.11695188879966736,0,0.28694213356620857,6243,10,312,333,45,518,249,12,631,41,60,66,38,15,106,13,145,26,11,20,47,202,303,50,16,40,537,261,46,172,207,24,25,11,342,13,14,21,136,43,19,7,9,193,17,133,58,12,53,537,44
29000,2894,-0.0006252988241612911,-0.04020514711737633,0.038064077496528625,-0.0006252988241612911,0.0006252988241612911,0.05879485288262368,0.05879485288262368,0.13806407749652863,0.13806407749652863,0,0.27723949616841365,6295,11,312,333,45,518,249,12,631,41,60,66,38,15,106,13,145,26,11,20,61,202,303,50,16,40,537,261,46,172,207,24,25,12,343,13,14,53,136,43,19,7,9,193,17,133,59,12,53,537,45
30000,2994,0.0007541481172665954,0.025121821090579033,0.013903808780014515,0.0007541481172665954,0.0007541481172665954,0.12412182109057904,0.12412182109057904,0.11390380878001452,0.11390380878001452,1,0.28445433917027013,6644,11,312,334,47,518,250,12,633,41,60,67,39,16,106,13,146,27,13,20,122,203,304,53,17,41,540,261,50,173,210,27,26,13,345,14,14,298,136,44,21,7,9,193,17,133,59,12,54,537,45
31000,3094,2.7439295990916435e-06,0.010732502676546574,0.0156552791595459,2.7439295990916435e-06,2.7439295990916435e-06,0.10973250267654658,0.10973250267654658,0.1156552791595459,0.1156552791595459,1,0.29857998575796924,7128,12,313,336,48,520,251,12,633,42,62,296,42,18,106,14,146,28,14,20,148,246,305,53,17,44,540,262,51,174,212,29,26,13,347,15,16,319,137,165,22,7,10,195,18,133,60,12,54,538,46
32000,3194,-0.006292369216680527,-0.0673091784119606,0.04358713701367378,-0.006292369216680527,0.006292369216680527,0.0316908215880394,0.0316908215880394,0.1435871370136738,0.1435871370136738,0,0.29193750252331546,7231,12,313,336,48,520,251,13,633,42,62,300,42,18,108,14,146,28,14,21,149,338,305,53,17,44,540,263,51,174,212,30,26,13,347,15,16,319,137,165,22,7,10,195,18,133,60,12,55,538,46
33000,3294,0.0006402973085641861,0.00710827112197876,0.023178335279226303,0.0006402973085641861,0.0006402973085641861,0.10610827112197876,0.10610827112197876,0.12317833527922631,0.12317833527922631,1,0.2868005459153831,7355,12,314,337,49,520,252,13,633,42,62,374,42,18,109,14,146,28,14,21,149,366,306,53,18,44,540,263,51,174,212,30,26,13,360,15,16,319,137,165,22,7,10,195,18,133,60,12,55,539,47
34000,3394,-0.000281118496786803,-0.0023863944225013256,0.03242429345846176,-0.000281118496786803,0.000281118496786803,0.09661360557749868,0.09661360557749868,0.13242429345846177,0.13242429345846177,0,0.28612498108639733,7564,12,315,337,51,520,253,13,635,42,63,381,42,18,109,14,146,28,14,21,149,367,306,53,18,45,540,265,51,174,212,31,26,13,506,15,16,319,137,202,22,7,12,195,21,133,60,12,55,541,47
35000,3494,-8.97186400834471e-05,-0.01477773766964674,0.02784949168562889,-8.97186400834471e-05,8.97186400834471e-05,0.08422226233035326,0.08422226233035326,0.1278494916856289,0.1278494916856289,0,0.2894668975426445,7857,13,315,337,51,521,253,13,635,43,64,441,43,21,109,15,148,29,16,21,149,368,308,53,18,45,540,266,51,174,213,31,26,13,506,20,17,319,137,293,22,7,12,196,30,134,60,12,56,646,47
36000,3594,-0.003101878333836794,0.024057526141405106,0.06326337158679962,-0.003101878333836794,0.003101878333836794,0.12305752614140511,0.12305752614140511,0.16326337158679963,0.16326337158679963,1,0.28856754241534827,8062,14,315,338,51,525,253,13,636,43,65,442,43,22,110,15,149,30,16,21,149,369,309,53,20,45,540,266,51,175,213,32,26,13,506,21,17,319,137,294,23,7,12,196,212,134,60,12,56,646,48
37000,3694,0.00019552535377442837,0.05188729986548424,0.05444123223423958,0.00019552535377442837,0.00019552535377442837,0.15088729986548424,0.15088729986548424,0.15444123223423958,0.15444123223423958,1,0.30048152964746405,8549,14,315,339,51,525,255,14,638,43,67,442,44,22,110,16,150,31,18,22,149,371,311,55,23,45,540,266,51,175,214,34,26,14,506,23,17,322,139,294,26,7,13,198,648,134,61,13,57,650,51
38000,3794,-0.0008603862952440977,0.015227599069476128,0.11158181726932526,-0.0008603862952440977,0.0008603862952440977,0.11422759906947613,0.11422759906947613,0.21158181726932526,0.21158181726932526,1,0.3119281891938547,9035,15,316,339,53,525,255,15,638,44,67,442,44,23,110,16,151,33,20,23,150,453,312,55,23,45,541,267,52,176,214,35,26,14,507,327,17,324,140,294,26,8,16,199,710,135,62,13,61,651,53
39000,3894,-0.003316988702863455,0.03949230536818504,0.026000654324889183,-0.003316988702863455,0.003316988702863455,0.13849230536818505,0.13849230536818505,0.1260006543248892,0.1260006543248892,1,0.3230096000542759,9522,18,317,344,54,525,259,15,638,44,67,442,44,23,111,73,151,34,21,23,152,453,313,55,24,47,541,268,56,178,216,35,26,15,507,701,19,324,140,295,27,9,17,202,712,136,63,15,63,654,55
40000,3994,-0.0034901888575404882,0.043991345912218094,0.029257914051413536,-0.0034901888575404882,0.0034901888575404882,0.1429913459122181,0.1429913459122181,0.12925791405141354,0.12925791405141354,1,0.3335444725963462,10005,18,317,347,56,525,260,17,640,44,68,442,44,26,111,367,154,36,21,24,153,453,314,56,25,48,541,269,56,178,216,35,26,17,507,846,20,325,140,296,28,13,17,203,712,137,63,15,65,656,57
41000,4094,-0.0006987262750044465,0.010481064207851887,0.034222833812236786,-0.0006987262750044465,0.0006987262750044465,0.10948106420785189,0.10948106420785189,0.1342228338122368,0.1342228338122368,1,0.34381042902559733,10490,19,317,347,57,528,260,18,640,46,128,444,44,26,112,367,156,37,21,24,155,454,314,58,26,49,542,269,56,178,217,37,26,18,509,1041,20,511,142,298,29,13,17,205,713,138,64,18,66,656,59
42000,4194,0.0012996125733479857,-0.013248130679130554,0.035168372094631195,0.0012996125733479857,0.0012996125733479857,0.08575186932086945,0.08575186932086945,0.1351683720946312,0.1351683720946312,0,0.3368558423783302,10583,20,317,347,57,528,260,18,640,46,212,444,46,26,112,367,156,37,21,24,156,454,314,58,26,49,542,269,56,179,217,37,26,18,509,1041,20,511,142,301,29,13,17,205,713,138,65,19,66,656,59
43000,4294,-0.0011526568559929729,0.01148651447147131,0.029962968081235886,-0.0011526568559929729,0.0011526568559929729,0.11048651447147131,0.11048651447147131,0.1299629680812359,0.1299629680812359,1,0.3407333499625842,10928,21,318,347,57,529,262,18,641,46,500,444,47,26,113,367,156,39,22,24,157,455,314,59,28,73,543,271,57,179,217,38,26,18,510,1041,21,511,145,302,30,13,17,206,715,138,67,19,66,656,59
44000,4394,-0.0036879191175103188,-0.021497178822755814,0.041132014244794846,-0.0036879191175103188,0.0036879191175103188,0.07750282117724419,0.07750282117724419,0.14113201424479485,0.14113201424479485,0,0.34003350083752093,11165,21,318,347,57,529,263,18,641,49,583,444,47,27,116,368,158,39,22,25,157,456,314,61,28,108,545,272,59,179,218,39,27,18,510,1041,22,511,146,302,31,14,17,206,803,138,67,20,68,656,60
45000,4494,-0.0010308760683983564,-0.009275335818529129,0.03961405158042908,-0.0010308760683983564,0.0010308760683983564,0.08972466418147088,0.08972466418147088,0.13961405158042908,0.13961405158042908,0,0.33140033728808543,11201,21,318,347,57,529,263,18,641,49,583,444,47,27,116,368,158,39,22,25,157,456,314,61,28,135,545,272,59,179,218,40,27,18,510,1041,22,511,146,302,31,15,17,206,810,138,67,20,68,656,60
46000,4594,0.0020346958190202713,0.04894426092505455,0.01999584585428238,0.0020346958190202713,0.0020346958190202713,0.14794426092505455,0.14794426092505455,0.11999584585428238,0.11999584585428238,1,0.3391947363824274,11651,22,319,347,57,529,263,19,642,51,583,447,47,29,116,369,159,39,23,27,157,457,315,61,28,462,545,273,62,179,219,42,29,18,510,1042,23,513,148,305,32,15,19,206,892,138,67,21,68,657,60
47000,4694,0.0007446383824571967,0.04180876165628433,0.01693989522755146,0.0007446383824571967,0.0007446383824571967,0.14080876165628434,0.14080876165628434,0.11693989522755147,0.11693989522755147,1,0.3482014801216224,12139,22,321,348,58,529,264,20,643,51,583,449,47,30,117,370,160,39,25,28,157,457,316,62,30,614,547,273,65,179,220,43,30,20,511,1043,25,514,148,305,34,16,23,206,1132,140,67,25,68,657,107
48000,4794,-0.0030666617676615715,-0.03744727000594139,0.03601711243391037,-0.0030666617676615715,0.0030666617676615715,0.061552729994058614,0.061552729994058614,0.13601711243391038,0.13601711243391038,0,0.34597050081319053,12338,23,322,348,59,529,264,21,645,51,586,449,48,32,117,403,160,39,26,29,157,457,316,62,30,614,547,274,65,179,220,44,30,20,513,1043,25,514,148,307,34,16,24,207,1132,140,67,25,68,657,252
49000,4894,-0.0039588832296431065,-0.015400071628391743,-0.00031723640859127045,-0.0039588832296431065,0.0039588832296431065,0.08359992837160826,0.08359992837160826,0.09968276359140874,0.09968276359140874,0,0.34276005699879425,12508,25,322,349,59,529,264,21,646,51,588,450,48,32,117,423,161,39,26,29,157,458,317,62,30,614,548,274,65,286,220,45,30,21,514,1043,25,514,148,307,38,16,24,207,1132,140,67,25,68,658,276
50000,4994,-1.9780585716944188e-05,0.02037065662443638,0.012908432632684708,-1.9780585716944188e-05,1.9780585716944188e-05,0.11937065662443638,0.11937065662443638,0.11290843263268471,0.11290843263268471,1,0.3429576708207993,12769,25,322,349,60,529,265,23,646,51,589,451,48,33,117,442,162,40,26,29,157,459,318,62,30,614,548,275,111,287,222,46,32,21,514,1045,25,514,148,307,38,16,25,208,1132,141,67,26,68,658,447
