environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples
12000,1194,0.009727030992507935,-0.17834721505641937,-0.046344541013240814,0.009727030992507935,0.009727030992507935,-0.07934721505641937,0.07934721505641937,0.05365545898675919,0.05365545898675919,0,0.1949810794662418,1958,1410,548
13000,1294,-0.008379853330552578,-0.05526920408010483,-0.05318552628159523,-0.008379853330552578,0.008379853330552578,0.04373079591989518,0.04373079591989518,0.046814473718404775,0.046814473718404775,0,0.18246316172457705,2006,1456,550
14000,1394,-0.009236226789653301,-0.03832321614027023,-0.11463760584592819,-0.009236226789653301,0.009236226789653301,0.06067678385972977,0.06067678385972977,-0.014637605845928187,0.014637605845928187,0,0.17164616285881665,2051,1493,558
15000,1494,-0.006375021766871214,-0.03967127948999405,-0.0520230308175087,-0.006375021766871214,0.006375021766871214,0.059328720510005956,0.059328720510005956,0.04797696918249131,0.04797696918249131,0,0.1624302541847489,2096,1535,561
16000,1594,-0.01458822749555111,-0.08533790707588196,-0.06139997020363808,-0.01458822749555111,0.01458822749555111,0.013662092924118047,0.013662092924118047,0.03860002979636193,0.03860002979636193,0,0.15390162988605222,2134,1563,571
17000,1694,-0.0029122335836291313,-0.07059764862060547,-0.07870443165302277,-0.0029122335836291313,0.0029122335836291313,0.028402351379394536,0.028402351379394536,0.02129556834697724,0.02129556834697724,0,0.1468663563381232,2177,1592,585
18000,1794,0.0021049389615654945,-0.0727100521326065,-0.13726969063282013,0.0021049389615654945,0.0021049389615654945,0.0262899478673935,0.0262899478673935,-0.037269690632820124,0.037269690632820124,0,0.14061212850896648,2219,1626,593
19000,1894,0.0008930717594921589,-0.03000137209892273,-0.11521357297897339,0.0008930717594921589,0.0008930717594921589,0.06899862790107728,0.06899862790107728,-0.015213572978973383,0.015213572978973383,0,0.13575228644868192,2271,1676,595
20000,1994,-0.008715650998055935,-0.10500123351812363,-0.17382174730300903,-0.008715650998055935,0.008715650998055935,-0.006001233518123622,0.006001233518123622,-0.07382174730300903,0.07382174730300903,0,0.13051834266010967,2309,1711,598
21000,2094,-0.004014697857201099,-0.07123354077339172,-0.0954904854297638,-0.004014697857201099,0.004014697857201099,0.02776645922660828,0.02776645922660828,0.004509514570236212,0.004509514570236212,0,0.1269117252481889,2365,1756,609
22000,2194,0.004934027791023254,-0.1116642951965332,-0.06559105217456818,0.004934027791023254,0.004934027791023254,-0.012664295196533198,0.012664295196533198,0.03440894782543183,0.03440894782543183,0,0.12296462661426165,2409,1760,649
23000,2294,-0.0016842547338455915,-0.04900467023253441,-0.00892150029540062,-0.0016842547338455915,0.0016842547338455915,0.049995329767465596,0.049995329767465596,0.09107849970459939,0.09107849970459939,0,0.11971179592035441,2459,1764,695
24000,2394,0.0028564399108290672,-0.12418434023857117,-0.04578915238380432,0.0028564399108290672,0.0028564399108290672,-0.025184340238571162,0.025184340238571162,0.054210847616195684,0.054210847616195684,0,0.11606603115554522,2496,1784,711
25000,2494,0.002968326909467578,-0.044823452830314636,-0.051413148641586304,0.002968326909467578,0.002968326909467578,0.05417654716968537,0.05417654716968537,0.0485868513584137,0.0485868513584137,0,0.11323863383354855,2543,1817,726
26000,2594,0.0036796971689909697,-0.033912286162376404,-0.026391442865133286,0.0036796971689909697,0.0036796971689909697,0.0650877138376236,0.0650877138376236,0.07360855713486672,0.07360855713486672,0,0.11092121004956418,2596,1818,778
27000,2694,0.00015669269487261772,-0.07472355663776398,-0.017692644149065018,0.00015669269487261772,0.00015669269487261772,0.024276443362236028,0.024276443362236028,0.08230735585093499,0.08230735585093499,0,0.10901174730961966,2654,1820,834
