environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
28000,2794,-0.0013526305556297302,0.03554735332727432,0.06125515699386597,-0.0013526305556297302,0.0013526305556297302,0.13454735332727433,0.13454735332727433,0.16125515699386597,0.16125515699386597,1,0.9020446980504042,13279,159,28,239,449,69,539,444,163,32,481,25,771,70,30,40,1887,515,125,146,219,33,95,32,321,34,866,234,71,255,71,62,390,248,526,159,25,177,1093,109,301,34,300,18,788,86,68,158,26,82,186
29000,2894,0.009220447391271591,0.08858077228069305,0.06850648671388626,0.009220447391271591,0.009220447391271591,0.18758077228069306,0.18758077228069306,0.16850648671388627,0.16850648671388627,1,0.9040115553804741,13769,159,30,681,450,71,539,445,163,34,481,28,771,71,30,42,1888,515,125,148,222,34,96,34,321,34,866,235,74,255,72,63,391,250,527,159,28,180,1093,110,303,34,301,18,790,86,70,158,26,82,186
30000,2994,-0.00242513045668602,0.08044891804456711,0.06741943955421448,-0.00242513045668602,0.00242513045668602,0.1794489180445671,0.1794489180445671,0.16741943955421448,0.16741943955421448,1,0.9053667831057478,14255,159,30,787,450,158,541,447,163,37,482,28,773,71,31,45,1891,516,127,148,224,35,98,34,322,35,868,237,74,256,73,63,391,251,529,161,29,181,1093,110,304,35,302,18,790,87,70,159,270,84,188
31000,3094,-0.0034385621547698975,0.08092184364795685,0.014025366865098476,-0.0034385621547698975,0.0034385621547698975,0.17992184364795685,0.17992184364795685,0.11402536686509848,0.11402536686509848,1,0.906697828894766,14742,162,30,789,452,182,542,449,163,37,482,31,853,73,31,46,1893,516,127,148,225,35,98,34,324,36,871,237,75,257,73,63,393,251,531,162,29,183,1095,112,304,36,304,20,791,88,72,162,601,85,188
32000,3194,-0.00042315199971199036,0.08023051172494888,0.09614979475736618,-0.00042315199971199036,0.00042315199971199036,0.1792305117249489,0.1792305117249489,0.19614979475736619,0.19614979475736619,1,0.9081151988551667,15230,162,32,789,454,182,544,450,164,37,482,31,863,74,32,48,1893,517,127,148,227,37,100,469,324,37,871,237,76,258,73,64,393,251,532,162,30,185,1096,114,305,36,306,22,791,90,73,163,602,87,189
33000,3294,0.0033221859484910965,0.11515897512435913,0.01028997078537941,0.0033221859484910965,0.0033221859484910965,0.21415897512435914,0.21415897512435914,0.11028997078537942,0.11028997078537942,1,0.9097222222222222,15720,163,33,789,457,184,544,451,164,39,483,33,864,75,34,49,1894,518,128,148,228,40,102,805,325,38,873,238,76,262,73,64,393,253,533,164,30,187,1097,115,305,39,307,104,793,91,74,181,604,87,189
34000,3394,-0.001330832950770855,0.11454576998949051,0.035831548273563385,-0.001330832950770855,0.001330832950770855,0.2135457699894905,0.2135457699894905,0.1358315482735634,0.1358315482735634,1,0.9110786352650216,16209,164,34,792,458,202,544,452,164,39,483,228,865,75,36,49,1895,519,129,148,231,40,104,806,526,39,873,238,78,262,75,65,393,253,535,165,31,188,1098,117,307,42,309,110,794,91,74,203,606,88,192
35000,3494,-0.0021044090390205383,0.11450354754924774,0.03255124017596245,-0.0021044090390205383,0.0021044090390205383,0.21350354754924775,0.21350354754924775,0.13255124017596245,0.13255124017596245,1,0.9123094574659892,16698,166,35,792,458,202,544,453,165,40,483,228,866,76,37,52,1895,519,129,150,232,42,105,808,970,41,873,241,80,262,75,68,393,254,536,166,33,189,1099,117,307,43,310,112,795,91,74,204,606,88,193
36000,3594,-0.022510478273034096,0.025073504075407982,0.022887224331498146,-0.022510478273034096,0.022510478273034096,0.12407350407540799,0.12407350407540799,0.12288722433149815,0.12288722433149815,1,0.9138270161075966,17190,167,60,792,459,264,544,454,167,40,483,231,868,76,38,52,1895,519,130,152,232,43,106,810,1003,41,874,242,82,264,75,68,393,254,538,167,34,190,1101,117,310,43,311,113,796,91,74,537,607,88,194
37000,3694,-0.01094131264835596,0.023789089173078537,0.020584814250469208,-0.01094131264835596,0.01094131264835596,0.12278908917307854,0.12278908917307854,0.12058481425046921,0.12058481425046921,1,0.9147691989236183,17677,169,60,792,459,461,545,454,168,41,486,231,871,76,41,54,1895,521,132,152,232,45,107,810,1003,42,877,244,82,264,77,69,395,256,538,168,36,190,1101,118,312,43,315,113,797,92,75,538,844,90,195
38000,3794,0.0007365687051787972,0.021429993212223053,0.018674835562705994,0.0007365687051787972,0.0007365687051787972,0.12042999321222306,0.12042999321222306,0.118674835562706,0.118674835562706,1,0.9158558104360978,18166,171,177,792,459,461,545,454,168,43,487,231,873,78,45,54,1895,521,132,153,232,46,107,812,1003,42,878,247,83,265,77,70,396,314,538,169,37,190,1103,119,312,43,315,115,798,93,75,538,1122,91,196
39000,3894,0.0012678838102146983,-0.0031724353320896626,-0.0054218461737036705,0.0012678838102146983,0.0012678838102146983,0.09582756466791034,0.09582756466791034,0.09457815382629634,0.09457815382629634,0,0.9076501663079632,18556,171,179,793,459,461,545,454,168,43,489,231,873,78,45,55,1896,521,133,154,232,46,107,813,1004,43,879,248,83,265,77,74,396,315,540,169,71,193,1105,119,312,45,315,423,799,98,76,538,1136,91,196
40000,3994,-0.006677346304059029,0.0043045696802437305,0.027484219521284103,-0.006677346304059029,0.006677346304059029,0.10330456968024374,0.10330456968024374,0.1274842195212841,0.1274842195212841,1,0.8947468144569182,18889,171,179,793,460,461,545,455,170,45,489,231,873,78,46,55,1896,522,135,154,233,46,109,813,1005,44,880,250,84,265,77,74,396,390,541,170,259,194,1105,119,312,45,318,423,800,140,77,538,1136,91,197
41000,4094,-0.010413944721221924,0.007428009063005447,0.04911264777183533,-0.010413944721221924,0.010413944721221924,0.10642800906300545,0.10642800906300545,0.14911264777183533,0.14911264777183533,1,0.8963045187549142,19379,171,180,794,461,464,545,456,170,45,493,233,874,79,46,56,1898,522,136,154,234,47,111,816,1006,46,882,250,86,265,78,75,396,392,542,172,696,195,1105,119,312,47,319,425,801,141,79,540,1136,91,198
42000,4194,-0.00021645784727297723,0.01482628844678402,0.03724638372659683,-0.00021645784727297723,0.00021645784727297723,0.11382628844678402,0.11382628844678402,0.13724638372659684,0.13724638372659684,1,0.8977498644496656,19869,171,182,796,461,467,547,456,170,46,495,235,875,79,47,56,1899,522,138,155,235,47,111,816,1007,46,883,252,86,267,78,76,397,643,544,173,830,195,1105,119,312,48,319,427,802,203,80,541,1136,93,200
43000,4294,0.005001196637749672,0.018784454092383385,0.010888691991567612,0.005001196637749672,0.005001196637749672,0.11778445409238339,0.11778445409238339,0.11088869199156762,0.11088869199156762,1,0.8989577813107225,20356,172,182,797,461,469,547,456,171,47,495,237,878,79,47,56,1901,522,138,155,236,47,456,816,1010,47,886,254,86,268,78,76,398,750,545,175,831,195,1106,119,313,49,320,427,802,204,81,542,1136,93,200
44000,4394,-0.0040020449087023735,0.019529467448592186,0.013071905821561813,-0.0040020449087023735,0.0040020449087023735,0.11852946744859219,0.11852946744859219,0.11307190582156182,0.11307190582156182,1,0.899499222932136,20836,175,182,799,462,472,547,457,172,49,495,240,881,80,47,56,1901,525,138,156,236,47,506,817,1011,47,887,254,87,269,333,76,400,751,546,176,831,195,1109,121,315,51,321,513,803,205,81,544,1174,94,202
45000,4494,-0.0049001905135810375,0.016577495262026787,0.0287749283015728,-0.0049001905135810375,0.0049001905135810375,0.11557749526202679,0.11557749526202679,0.1287749283015728,0.1287749283015728,1,0.9003800675675676,21321,176,182,801,464,472,547,459,173,49,495,241,881,81,47,56,1902,526,138,157,238,49,506,817,1011,48,888,255,87,271,773,78,400,752,547,177,833,196,1110,121,316,52,322,513,803,208,83,544,1178,95,202
46000,4594,-0.007066953927278519,0.03487514331936836,0.05471571534872055,-0.007066953927278519,0.007066953927278519,0.13387514331936837,0.13387514331936837,0.15471571534872056,0.15471571534872056,1,0.9013764311991072,21807,176,182,803,465,472,548,459,174,49,495,241,884,81,48,56,1903,527,138,159,239,52,506,817,1013,48,888,257,87,272,855,78,402,753,547,178,836,197,1111,122,318,53,322,513,804,570,83,546,1180,97,203
47000,4694,-0.0026694105472415686,0.028107283636927605,-0.004354484379291534,-0.0026694105472415686,0.0026694105472415686,0.1271072836369276,0.1271072836369276,0.09564551562070847,0.09564551562070847,1,0.902371893467174,22294,176,183,804,465,473,552,459,175,49,498,243,1048,82,49,57,1904,528,138,159,241,54,506,817,1051,50,888,258,87,272,855,79,404,755,549,180,836,198,1111,123,319,54,322,513,807,808,86,548,1180,98,203
48000,4794,-0.0054803406819701195,0.022581547498703003,-0.004944078624248505,-0.0054803406819701195,0.0054803406819701195,0.12158154749870301,0.12158154749870301,0.0950559213757515,0.0950559213757515,1,0.9032155743229848,22780,176,185,807,467,474,552,459,175,49,499,244,1048,82,50,59,1906,530,139,160,258,55,507,818,1437,50,889,260,89,274,891,80,407,756,550,181,837,199,1111,124,320,54,322,513,808,808,88,548,1181,98,205
49000,4894,0.00046971990377642214,0.0009846354369074106,-0.02599942497909069,0.00046971990377642214,0.00046971990377642214,0.09998463543690742,0.09998463543690742,0.07400057502090931,0.07400057502090931,1,0.8869377695625386,23032,176,185,807,468,477,553,459,175,49,500,246,1071,83,51,59,1907,530,139,161,258,55,507,818,1505,50,891,260,91,274,892,80,407,757,550,182,837,199,1111,124,320,54,323,513,809,808,88,549,1181,238,205
50000,4994,0.0014878618530929089,-0.0010752661619335413,0.012609168887138367,0.0014878618530929089,0.0014878618530929089,0.09792473383806646,0.09792473383806646,0.11260916888713837,0.11260916888713837,0,0.8692287562151856,23251,176,186,808,469,477,553,461,188,49,500,247,1207,84,51,62,1908,532,139,162,259,55,507,818,1530,50,891,261,91,274,892,80,409,759,551,183,838,199,1111,126,322,54,323,513,809,808,88,549,1182,255,205
