environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
24000,2394,-0.0009679878130555153,-0.0024546775966882706,0.06666294485330582,-0.0009679878130555153,0.0009679878130555153,0.09654532240331173,0.09654532240331173,0.16666294485330582,0.16666294485330582,0,0.2153744872638882,4253,8,9,5,286,66,20,51,99,10,10,66,5,266,92,23,5,13,249,46,33,52,9,13,146,487,11,17,25,11,10,41,46,274,20,931,13,133,154,14,51,14,31,4,56,125,11,25,76,85,6
25000,2494,-0.0027473848313093185,-0.07236523926258087,0.02446787618100643,-0.0027473848313093185,0.0027473848313093185,0.026634760737419133,0.026634760737419133,0.12446787618100644,0.12446787618100644,0,0.21796745590957808,4474,9,10,5,287,66,20,52,99,11,10,66,6,266,93,24,6,13,315,46,33,52,9,14,147,487,16,17,27,11,10,41,52,275,20,987,15,133,154,14,51,15,32,5,56,190,12,27,76,85,7
26000,2594,-0.003621199168264866,-0.002823987975716591,-0.0013337135314941406,-0.003621199168264866,0.003621199168264866,0.09617601202428341,0.09617601202428341,0.09866628646850586,0.09866628646850586,1,0.22019898629622678,4692,10,11,5,288,66,21,52,99,11,10,67,6,266,93,24,7,14,315,47,33,53,9,14,147,487,18,17,27,12,11,41,143,275,20,987,15,134,154,14,51,16,34,7,56,201,89,30,91,86,8
27000,2694,0.0008858554065227509,-0.020764581859111786,0.10996194183826447,0.0008858554065227509,0.0008858554065227509,0.07823541814088822,0.07823541814088822,0.20996194183826447,0.20996194183826447,0,0.21310149615851193,4743,10,11,5,288,66,21,52,99,11,10,67,6,266,93,24,7,14,315,47,33,53,9,15,148,487,18,17,27,12,21,41,143,275,21,987,15,134,154,14,51,17,34,7,56,201,89,30,128,86,8
28000,2794,-0.001017097383737564,-0.03879895433783531,0.039447084069252014,-0.001017097383737564,0.001017097383737564,0.06020104566216469,0.06020104566216469,0.13944708406925202,0.13944708406925202,0,0.20658450400758424,4794,10,12,5,288,66,21,52,99,12,11,67,6,266,93,24,7,14,315,47,33,53,9,15,149,487,18,17,27,12,57,41,143,275,21,995,15,134,154,14,51,17,34,7,56,201,89,31,128,86,10
29000,2894,0.004926477093249559,-0.006855993997305632,0.04434183984994888,0.004926477093249559,0.004926477093249559,0.09214400600269437,0.09214400600269437,0.1443418398499489,0.1443418398499489,0,0.20132560066280034,4860,10,12,5,288,67,21,52,99,12,11,67,6,266,93,24,7,14,315,47,36,53,9,15,149,487,19,17,27,12,109,42,143,275,21,1000,15,135,154,14,52,17,34,7,56,201,90,31,128,86,10
30000,2994,3.669660509331152e-05,0.0183704923838377,0.10336080193519592,3.669660509331152e-05,3.669660509331152e-05,0.1173704923838377,0.1173704923838377,0.20336080193519593,0.20336080193519593,1,0.2151160435821621,5311,10,12,5,288,67,23,54,99,15,12,67,7,266,94,26,11,15,318,47,38,54,186,15,150,521,21,19,27,13,304,42,143,276,23,1002,16,136,154,14,53,18,35,7,56,201,90,32,129,88,12
31000,3094,9.855165262706578e-05,0.010975244455039501,0.05621643364429474,9.855165262706578e-05,9.855165262706578e-05,0.1099752444550395,0.1099752444550395,0.15621643364429474,0.15621643364429474,1,0.23005197793913423,5798,13,12,7,290,67,24,56,99,15,12,70,7,268,94,27,13,15,318,47,39,54,353,15,152,522,24,19,28,14,438,42,145,276,25,1135,16,138,156,16,53,19,37,9,57,202,92,35,131,89,12
32000,3194,-0.0012014565290883183,0.04007064551115036,0.04543645679950714,-0.0012014565290883183,0.0012014565290883183,0.13907064551115036,0.13907064551115036,0.14543645679950715,0.14543645679950715,1,0.24444876531207466,6286,13,14,7,292,67,26,57,100,15,12,70,7,269,95,29,13,16,318,47,41,56,355,16,152,523,24,19,29,15,860,43,145,276,26,1135,17,140,157,18,54,19,39,11,57,204,93,36,154,91,13
33000,3294,-0.0006138485041446984,0.03181801363825798,0.03110427036881447,-0.0006138485041446984,0.0006138485041446984,0.13081801363825799,0.13081801363825799,0.13110427036881447,0.13110427036881447,1,0.25838926174496646,6776,14,15,7,295,69,26,58,100,17,13,72,8,270,97,30,14,17,412,47,42,59,357,16,153,524,26,20,29,19,898,43,145,278,27,1137,17,142,158,19,54,22,40,11,59,205,94,36,461,91,13
