environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
32000,3194,0.0006927736103534698,0.0823807492852211,0.031916819512844086,0.0006927736103534698,0.0006927736103534698,0.1813807492852211,0.1813807492852211,0.1319168195128441,0.1319168195128441,1,0.7208539470853947,13405,34,89,429,532,75,28,576,498,1243,167,540,21,19,452,163,111,124,160,22,53,25,162,22,493,24,42,104,816,96,70,54,74,327,438,115,949,455,34,213,82,671,30,17,584,430,48,832,321,335,205
33000,3294,0.0006180610507726669,0.029682204127311707,0.030671190470457077,0.0006180610507726669,0.0006180610507726669,0.1286822041273117,0.1286822041273117,0.13067119047045708,0.13067119047045708,1,0.7254522639339119,13875,34,92,430,533,76,29,579,500,1244,167,540,23,19,452,590,112,124,160,22,54,25,163,22,493,26,42,104,817,96,71,56,75,328,438,115,950,455,34,214,84,671,33,17,586,432,49,832,322,338,206
34000,3394,-0.0011591799557209015,0.03439265489578247,0.09895817190408707,-0.0011591799557209015,0.0011591799557209015,0.13339265489578248,0.13339265489578248,0.19895817190408707,0.19895817190408707,1,0.7313881250636521,14363,34,94,430,534,79,30,579,503,1245,226,540,24,19,453,617,113,124,161,23,55,377,163,22,494,26,42,109,817,97,74,57,76,330,438,118,950,457,36,216,85,671,34,18,590,433,51,832,322,338,206
35000,3494,-0.0018478906713426113,0.034669868648052216,-0.03875550255179405,-0.0018478906713426113,0.0018478906713426113,0.13366986864805222,0.13366986864805222,0.06124449744820595,0.06124449744820595,1,0.736714136853074,14847,35,95,430,534,80,31,581,504,1254,307,541,24,20,454,617,114,124,162,23,56,651,163,24,518,26,44,110,817,98,76,58,76,330,438,118,950,457,38,216,86,740,34,18,590,434,51,833,322,338,207
36000,3594,-0.003321995958685875,-0.009307406842708588,-0.0367659330368042,-0.003321995958685875,0.003321995958685875,0.08969259315729142,0.08969259315729142,0.0632340669631958,0.0632340669631958,0,0.7186231918651835,15053,35,95,430,534,80,31,582,505,1371,307,541,26,20,455,617,114,125,162,25,58,651,163,24,518,27,45,110,817,98,76,58,76,331,438,118,950,459,40,217,87,740,36,18,656,434,52,833,323,338,207
37000,3694,2.3525208234786987e-06,-0.01862974464893341,-9.052641689777374e-05,2.3525208234786987e-06,2.3525208234786987e-06,0.0803702553510666,0.0803702553510666,0.09990947358310223,0.09990947358310223,0,0.6890349675887885,15094,35,95,430,534,80,31,582,505,1371,307,541,26,20,455,617,114,125,162,25,58,651,203,24,518,27,45,110,817,98,76,58,76,331,439,118,950,459,40,217,87,740,36,18,656,434,52,833,323,338,207
38000,3794,0.0006997983437031507,-0.018430426716804504,-0.031194213777780533,0.0006997983437031507,0.0006997983437031507,0.0805695732831955,0.0805695732831955,0.06880578622221947,0.06880578622221947,0,0.6627286251859631,15146,35,95,430,534,80,31,582,505,1371,307,541,26,21,455,617,114,125,162,25,58,666,238,24,518,27,45,110,817,98,76,58,76,331,439,118,950,459,41,217,87,740,36,18,656,434,52,833,323,338,207
39000,3894,-0.0004282929003238678,-0.02898240089416504,0.0007850416004657745,-0.0004282929003238678,0.0004282929003238678,0.07001759910583497,0.07001759910583497,0.10078504160046578,0.10078504160046578,0,0.6382424598840628,15194,35,95,435,534,80,31,583,505,1371,307,541,26,21,455,617,114,125,162,26,58,671,238,24,518,27,45,110,817,98,76,58,76,331,439,118,950,459,41,217,87,740,36,18,656,434,87,833,324,338,207
40000,3994,-0.00338954315520823,-0.030490905046463013,-0.018472468480467796,-0.00338954315520823,0.00338954315520823,0.06850909495353699,0.06850909495353699,0.08152753151953221,0.08152753151953221,0,0.6155088852988692,15240,35,96,435,534,80,31,583,505,1371,307,541,27,21,455,617,114,125,162,26,58,671,238,24,518,27,45,110,817,98,76,58,76,331,439,118,950,459,41,217,87,740,36,18,656,434,131,833,324,338,207
41000,4094,-0.0006370567716658115,-0.032119542360305786,-0.03099152445793152,-0.0006370567716658115,0.0006370567716658115,0.06688045763969422,0.06688045763969422,0.06900847554206849,0.06900847554206849,0,0.5960759887885394,15312,36,96,466,534,80,32,583,506,1396,307,545,27,21,455,617,114,125,162,26,59,671,238,24,519,27,47,110,817,98,76,58,76,331,439,119,950,460,41,217,87,740,36,19,656,434,133,833,324,338,207
42000,4194,0.0003559105098247528,-0.023543529212474823,-0.001248389482498169,0.0003559105098247528,0.0003559105098247528,0.07545647078752518,0.07545647078752518,0.09875161051750184,0.09875161051750184,0,0.5770501652147793,15368,36,96,467,534,80,32,583,506,1404,307,587,27,21,455,617,114,125,162,26,59,671,238,24,519,27,47,111,817,98,76,58,76,331,439,119,950,460,41,218,88,740,36,19,656,435,133,834,324,338,207
43000,4294,9.716523345559835e-05,-0.019264675676822662,0.007297774776816368,9.716523345559835e-05,9.716523345559835e-05,0.07973532432317734,0.07973532432317734,0.10729777477681637,0.10729777477681637,0,0.5591935893252112,15422,36,96,467,534,80,32,583,506,1404,307,624,27,21,455,617,114,125,162,26,59,671,238,24,520,27,47,111,817,98,76,58,76,331,439,119,950,460,41,218,88,754,37,19,656,435,133,834,324,338,207
44000,4394,-0.0002087187021970749,-0.02665846422314644,0.0019093155860900879,-0.0002087187021970749,0.0002087187021970749,0.07234153577685357,0.07234153577685357,0.1019093155860901,0.1019093155860901,0,0.5423984295579626,15473,36,96,467,534,80,32,583,506,1406,307,663,27,21,456,617,114,125,162,26,59,671,238,24,521,27,47,111,817,98,76,58,76,331,439,119,950,460,41,219,88,760,37,19,657,435,133,834,324,339,207
45000,4494,-0.0004723742604255676,0.00026660412549972534,-0.004031846299767494,-0.0004723742604255676,0.0004723742604255676,0.09926660412549973,0.09926660412549973,0.09596815370023251,0.09596815370023251,1,0.5261997625911481,15515,36,96,467,534,80,32,583,506,1406,307,700,27,21,456,617,115,125,162,26,60,671,238,24,521,27,47,111,817,98,76,58,76,332,439,119,950,461,41,219,88,760,37,19,657,435,133,835,324,339,207
46000,4594,0.0002740025520324707,-0.0006845593452453613,0.017299329861998558,0.0002740025520324707,0.0002740025520324707,0.09831544065475464,0.09831544065475464,0.11729932986199856,0.11729932986199856,0,0.5326691766901009,15987,40,97,467,536,81,33,583,507,1495,307,958,27,21,456,618,115,126,162,27,62,673,240,24,521,27,47,111,817,98,76,58,77,332,441,120,951,461,44,219,88,762,37,19,658,435,133,836,326,339,299
47000,4694,-9.448081254959106e-05,0.0023624226450920105,0.006784938275814056,-9.448081254959106e-05,9.448081254959106e-05,0.10136242264509202,0.10136242264509202,0.10678493827581406,0.10678493827581406,1,0.5376889354184388,16435,42,102,468,536,81,33,682,508,1519,308,1126,27,21,457,618,116,126,162,28,64,675,241,26,521,27,49,115,818,99,77,59,79,332,442,121,951,461,45,223,89,762,39,20,659,436,133,942,327,343,299
48000,4794,-0.00017054378986358643,0.011521399021148682,0.008676037192344666,-0.00017054378986358643,0.00017054378986358643,0.11052139902114869,0.11052139902114869,0.10867603719234467,0.10867603719234467,1,0.5425155858345652,16882,44,103,470,536,81,35,979,510,1622,309,1127,27,22,458,618,116,127,163,28,66,675,241,27,526,29,51,115,818,100,80,59,81,333,444,121,951,462,45,223,90,764,40,20,659,438,133,942,329,345,300
49000,4894,0.0006211251020431519,0.010098107159137726,0.001654965803027153,0.0006211251020431519,0.0006211251020431519,0.10909810715913773,0.10909810715913773,0.10165496580302716,0.10165496580302716,1,0.5489173383910226,17365,44,104,678,536,81,39,1008,511,1723,310,1227,27,22,459,619,118,127,165,28,68,676,243,28,527,32,52,115,818,102,81,60,81,333,446,122,952,465,45,223,90,766,41,22,661,439,133,943,330,345,300
50000,4994,-0.0003508627414703369,0.0033192262053489685,0.002854958176612854,-0.0003508627414703369,0.0003508627414703369,0.10231922620534897,0.10231922620534897,0.10285495817661286,0.10285495817661286,1,0.5554829678021466,17856,44,105,700,540,81,39,1008,511,2145,310,1227,29,23,459,620,119,127,168,29,71,678,245,28,529,33,53,118,818,102,81,61,83,333,448,123,952,467,45,223,90,768,43,22,662,439,135,945,331,345,300
