panel,algorithm,x,mean,se
risky_error,dqn,30000,0.10587339839835963,0.012742836272697646
greedy_risky_fraction,dqn,30000,0.6666666666666666,0.33333333333333337
risky_error,dqn,31000,0.11497109933694205,0.015539619782666476
greedy_risky_fraction,dqn,31000,0.6666666666666666,0.33333333333333337
risky_error,dqn,32000,0.11719650425265234,0.014896015976573005
greedy_risky_fraction,dqn,32000,0.6666666666666666,0.33333333333333337
risky_error,dqn,33000,0.11067128793895246,0.028772575606112006
greedy_risky_fraction,dqn,33000,0.3333333333333333,0.33333333333333337
risky_error,dqn,34000,0.10587329036494098,0.03206301034793592
greedy_risky_fraction,dqn,34000,0.3333333333333333,0.33333333333333337
risky_error,dqn,35000,0.10509240898241601,0.032262221043807764
greedy_risky_fraction,dqn,35000,0.3333333333333333,0.33333333333333337
risky_error,dqn,36000,0.061576029822230344,0.005876699943117576
greedy_risky_fraction,dqn,36000,0.0,0.0
risky_error,dqn,37000,0.06685541313389938,0.007107940663602892
greedy_risky_fraction,dqn,37000,0.0,0.0
risky_error,dqn,38000,0.06398112939298153,0.006242743698253591
greedy_risky_fraction,dqn,38000,0.0,0.0
risky_error,dqn,39000,0.08077600993464391,0.002278956314133761
greedy_risky_fraction,dqn,39000,0.0,0.0
risky_error,dqn,40000,0.09432636503378551,0.011154738650729653
greedy_risky_fraction,dqn,40000,0.3333333333333333,0.33333333333333337
risky_error,dqn,41000,0.10013170656065147,0.017250876430055618
greedy_risky_fraction,dqn,41000,0.3333333333333333,0.33333333333333337
risky_error,dqn,42000,0.07613444630304973,0.010573535948331022
greedy_risky_fraction,dqn,42000,0.0,0.0
risky_error,dqn,43000,0.07290540747437627,0.017402360225843537
greedy_risky_fraction,dqn,43000,0.3333333333333333,0.33333333333333337
risky_error,dqn,44000,0.07529395484303435,0.017742646282136856
greedy_risky_fraction,dqn,44000,0.3333333333333333,0.33333333333333337
risky_error,dqn,45000,0.07206748060509563,0.01954424050999396
greedy_risky_fraction,dqn,45000,0.0,0.0
risky_error,dqn,46000,0.07047683116296928,0.02409040024516873
greedy_risky_fraction,dqn,46000,0.3333333333333333,0.33333333333333337
risky_error,dqn,47000,0.07613499267896016,0.025689707043725186
greedy_risky_fraction,dqn,47000,0.3333333333333333,0.33333333333333337
risky_error,dqn,48000,0.07661915499965351,0.027631667017778083
greedy_risky_fraction,dqn,48000,0.3333333333333333,0.33333333333333337
risky_error,dqn,49000,0.08658913762867453,0.022906888728828664
greedy_risky_fraction,dqn,49000,0.3333333333333333,0.33333333333333337
risky_error,dqn,50000,0.08347184140483539,0.02367638582633051
greedy_risky_fraction,dqn,50000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,1000,0.1028564979719619,0.01170306138290412
greedy_risky_fraction,double_dqn,1000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,2000,0.0382074008161823,0.02862850500005239
greedy_risky_fraction,double_dqn,2000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,3000,0.08096661099791527,0.03681970510251866
greedy_risky_fraction,double_dqn,3000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,4000,0.02563628607988358,0.02338336264985804
greedy_risky_fraction,double_dqn,4000,0.0,0.0
risky_error,double_dqn,5000,0.03206966312229634,0.02451153997561242
greedy_risky_fraction,double_dqn,5000,0.0,0.0
risky_error,double_dqn,6000,0.04083006013433139,0.005733261720791663
greedy_risky_fraction,double_dqn,6000,0.0,0.0
risky_error,double_dqn,7000,0.051975547562042874,0.03092970096350833
greedy_risky_fraction,double_dqn,7000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,8000,0.001537591755390172,0.020089228070916412
greedy_risky_fraction,double_dqn,8000,0.0,0.0
risky_error,double_dqn,9000,-0.0444586097796758,0.02321319722580652
greedy_risky_fraction,double_dqn,9000,0.0,0.0
risky_error,double_dqn,10000,0.030249562650918965,0.025136729161041628
greedy_risky_fraction,double_dqn,10000,0.0,0.0
risky_error,double_dqn,11000,0.019400744924942658,0.015983135841093808
greedy_risky_fraction,double_dqn,11000,0.0,0.0
risky_error,double_dqn,12000,0.023932666122913365,0.02826372357897523
greedy_risky_fraction,double_dqn,12000,0.0,0.0
risky_error,double_dqn,13000,0.008313390652338668,0.03014580763814275
greedy_risky_fraction,double_dqn,13000,0.0,0.0
risky_error,double_dqn,14000,-0.02600916793942451,0.03173893941902919
greedy_risky_fraction,double_dqn,14000,0.0,0.0
risky_error,double_dqn,15000,-0.07453064318497975,0.020269669010950078
greedy_risky_fraction,double_dqn,15000,0.0,0.0
risky_error,double_dqn,16000,-0.09734875158468881,0.028233713265762288
greedy_risky_fraction,double_dqn,16000,0.0,0.0
risky_error,double_dqn,17000,0.020120102206865952,0.024371223791697382
greedy_risky_fraction,double_dqn,17000,0.0,0.0
risky_error,double_dqn,18000,0.027371954709291463,0.03666736219007465
greedy_risky_fraction,double_dqn,18000,0.0,0.0
risky_error,double_dqn,19000,0.045755706643064824,0.03726578201306777
greedy_risky_fraction,double_dqn,19000,0.0,0.0
risky_error,double_dqn,20000,0.06660628077511986,0.01912781031686388
greedy_risky_fraction,double_dqn,20000,0.0,0.0
risky_error,double_dqn,21000,0.035821198090910916,0.042554975670687195
greedy_risky_fraction,double_dqn,21000,0.0,0.0
risky_error,double_dqn,22000,-0.059373379769424604,0.11353020619255409
greedy_risky_fraction,double_dqn,22000,0.0,0.0
risky_error,double_dqn,23000,0.03414210482438406,0.028226357848864132
greedy_risky_fraction,double_dqn,23000,0.0,0.0
risky_error,double_dqn,24000,0.0633392963334918,0.016532044802015054
greedy_risky_fraction,double_dqn,24000,0.0,0.0
risky_error,double_dqn,25000,0.04508266217013201,0.024692833480778834
greedy_risky_fraction,double_dqn,25000,0.0,0.0
risky_error,double_dqn,26000,0.05906116953988871,0.014521335683933321
greedy_risky_fraction,double_dqn,26000,0.0,0.0
risky_error,double_dqn,27000,0.0739281662516296,0.014409910363829806
greedy_risky_fraction,double_dqn,27000,0.0,0.0
risky_error,double_dqn,28000,0.07939954729999106,0.018578652989457368
greedy_risky_fraction,double_dqn,28000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,29000,0.08130115471718212,0.023469806912568218
