environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples
14000,1394,0.004914044868201017,-0.04542306065559387,-0.048647619783878326,0.004914044868201017,0.004914044868201017,0.05357693934440613,0.05357693934440613,0.05135238021612168,0.05135238021612168,0,0.339328422462451,3547,1358,2189
15000,1494,0.004334996920078993,-0.06004086881875992,-0.04760044068098068,0.004334996920078993,0.004334996920078993,0.038959131181240086,0.038959131181240086,0.05239955931901932,0.05239955931901932,0,0.31486676016830295,3592,1359,2233
16000,1594,0.0014040898531675339,-0.06953790038824081,-0.085817351937294,0.0014040898531675339,0.0014040898531675339,0.02946209961175919,0.02946209961175919,0.014182648062706,0.014182648062706,0,0.29345189975747776,3630,1360,2270
17000,1694,0.0018922514282166958,-0.08619385957717896,-0.03707118332386017,0.0018922514282166958,0.0018922514282166958,0.01280614042282105,0.01280614042282105,0.06292881667613984,0.06292881667613984,0,0.2756059128085841,3673,1363,2310
18000,1794,-0.003864418948069215,-0.08029256016016006,-0.09150774031877518,-0.003864418948069215,0.003864418948069215,0.01870743983983994,0.01870743983983994,0.008492259681224829,0.008492259681224829,0,0.2600630031501575,3715,1365,2350
19000,1894,-0.01642337068915367,-0.09411543607711792,-0.1370575726032257,-0.01642337068915367,0.01642337068915367,0.004884563922882085,0.004884563922882085,-0.0370575726032257,0.0370575726032257,0,0.24729206328366046,3767,1374,2393
20000,1994,0.006238079164177179,-0.1295810043811798,-0.05704369395971298,0.006238079164177179,0.006238079164177179,-0.030581004381179805,0.030581004381179805,0.04295630604028702,0.04295630604028702,0,0.234949058351343,3805,1374,2431
21000,2094,-0.003481630003079772,-0.15253186225891113,-0.08235688507556915,-0.003481630003079772,0.003481630003079772,-0.05353186225891113,0.05353186225891113,0.017643114924430853,0.017643114924430853,0,0.22527568702958164,3861,1377,2484
22000,2194,0.010053502395749092,-0.1167827844619751,-0.0717131718993187,0.010053502395749092,0.010053502395749092,-0.017782784461975093,0.017782784461975093,0.02828682810068131,0.02828682810068131,0,0.21580547112462006,3905,1387,2518
23000,2294,0.00034570833668112755,-0.05217917263507843,-0.05839298292994499,0.00034570833668112755,0.00034570833668112755,0.046820827364921574,0.046820827364921574,0.041607017070055013,0.041607017070055013,0,0.20766605408243632,3955,1421,2534
24000,2394,0.00013579288497567177,-0.059862736612558365,-0.06314143538475037,0.00013579288497567177,0.00013579288497567177,0.03913726338744164,0.03913726338744164,0.03685856461524964,0.03685856461524964,0,0.19951022040081964,3992,1456,2535
25000,2494,-0.000723712146282196,-0.04740153253078461,-0.05556458234786987,-0.000723712146282196,0.000723712146282196,0.0515984674692154,0.0515984674692154,0.04443541765213013,0.04443541765213013,0,0.19269118839750013,4039,1500,2539
26000,2594,0.0031222254037857056,-0.03658955171704292,-0.019234834238886833,0.0031222254037857056,0.0031222254037857056,0.06241044828295708,0.06241044828295708,0.08076516576111317,0.08076516576111317,0,0.18678108453532957,4092,1548,2544
27000,2694,0.00046748947352170944,-0.05092405900359154,-0.055103618651628494,0.00046748947352170944,0.00046748947352170944,0.04807594099640847,0.04807594099640847,0.04489638134837151,0.04489638134837151,0,0.18161925601750548,4150,1600,2550
28000,2794,0.0008642459288239479,-0.0477166511118412,-0.07946761697530746,0.0008642459288239479,0.0008642459288239479,0.0512833488881588,0.0512833488881588,0.02053238302469254,0.02053238302469254,0,0.17612466921493677,4193,1641,2552
